Timestamp,RA,Dec,trackingRA,trackingDec
2026-04-24_05:10:26.217610,208.157175,17.935736,208.528261185,18.012014389
2026-04-24_05:10:26.718423,208.159509,17.935806,208.539147377,18.012014389
2026-04-24_05:11:04.274064,208.315586,17.93602,208.687033653,18.012014389
2026-04-24_05:11:04.774848,208.317388,17.936046,208.697891235,18.012014389
2026-04-24_05:11:43.332013,208.47902,17.935677,208.84996891,18.012014389
2026-04-24_05:11:43.832708,208.480778,17.9357,208.861670494,18.012014389
2026-04-24_05:12:23.391378,208.646061,17.935355,209.017925262,18.012014389
2026-04-24_05:12:23.892080,208.6484,17.935184,209.027953148,18.012014389
2026-04-24_05:13:04.452141,208.817367,17.934864,209.189214706,18.012014389
2026-04-24_05:13:04.952943,208.819393,17.934931,209.200086594,18.012014389
2026-04-24_05:13:47.015222,208.995469,17.935041,209.367198944,18.012014389
2026-04-24_05:13:47.516015,208.997558,17.934951,209.377212524,18.012014389
2026-04-24_05:14:30.079070,209.175748,17.9349,209.546842575,18.012014389
2026-04-24_05:14:30.579836,209.177826,17.934852,209.557714462,18.012014389
2026-04-24_05:15:14.144412,209.360048,17.934482,209.730677605,18.012014389
2026-04-24_05:15:14.645156,209.361727,17.934786,209.741535187,18.012014389
2026-04-24_05:15:59.211169,209.548162,17.934602,209.919505119,18.012014389
2026-04-24_05:15:59.711988,209.550468,17.934476,209.930276871,18.0120716095
2026-04-24_05:16:45.279393,209.741374,17.934064,210.111694336,18.012014389
2026-04-24_05:16:45.780150,209.743101,17.933974,210.122566223,18.012014389
2026-04-24_05:17:32.349204,209.937651,17.933857,210.308060646,18.012014389
2026-04-24_05:17:32.849948,209.939987,17.933665,210.319747925,18.012014389
2026-04-24_05:18:20.420479,210.139155,17.932911,210.509433746,18.012014389
2026-04-24_05:18:20.921092,210.141193,17.933389,210.52113533,18.012014389
2026-04-24_05:19:09.993868,210.345723,17.932622,210.716657639,18.012014389
2026-04-24_05:19:10.494625,210.347973,17.93265,210.727415085,18.0120716095
2026-04-24_05:20:00.068034,210.555184,17.932537,210.925555229,18.012014389
2026-04-24_05:20:00.568818,210.55732,17.932299,210.936412811,18.012014389
2026-04-24_05:20:51.143776,210.768992,17.931748,211.138529778,18.0120716095
2026-04-24_05:20:51.644550,210.771009,17.931684,211.14938736,18.0120716095
2026-04-24_05:21:43.220935,210.986633,17.931412,211.356611252,18.0120716095
2026-04-24_05:21:43.721728,210.988703,17.931539,211.36756897,18.012014389
2026-04-24_05:22:36.800421,211.210854,17.931409,211.580543518,18.0120716095
2026-04-24_05:22:37.301132,211.21289,17.931337,211.5914011,18.0120716095
2026-04-24_05:23:30.880536,211.437053,17.930629,211.806149483,18.0120716095
2026-04-24_05:23:31.381277,211.439338,17.930688,211.817007065,18.0120716095
2026-04-24_05:24:26.462863,211.669278,17.930224,212.038435936,18.0120716095
2026-04-24_05:24:26.963636,211.671485,17.930324,212.049307823,18.0120716095
2026-04-24_05:24:29.467290,211.682254,17.930491,212.061009407,18.0120716095
2026-04-24_05:24:32.972538,211.696202,17.930633,212.072696686,18.0120716095
2026-04-24_05:24:35.976973,211.709281,17.93037,212.08439827,18.0120716095
2026-04-24_05:24:38.981441,211.721703,17.930236,212.095255852,18.0120716095
2026-04-24_05:24:42.486691,211.73656,17.930483,212.106113434,18.0120716095
2026-04-24_05:24:48.495526,211.761109,17.93051,212.130360603,18.0120716095
2026-04-24_05:24:48.996325,211.763088,17.930458,212.142047882,18.0120716095
2026-04-24_05:24:58.009657,211.800686,17.929975,212.170472145,18.0120716095
2026-04-24_05:24:58.510400,211.803161,17.930162,212.181329727,18.0120716095
2026-04-24_05:25:08.525195,211.84543,17.930246,212.214016914,18.012014389
2026-04-24_05:25:09.025999,211.847497,17.930089,212.225604057,18.0120716095
2026-04-24_05:25:20.042297,211.893361,17.930308,212.262482643,18.012014389
2026-04-24_05:25:20.543024,211.895571,17.930335,212.273340225,18.012014389
2026-04-24_05:25:32.060061,211.943243,17.930108,212.31262207,18.012014389
2026-04-24_05:25:32.560834,211.945842,17.929913,212.324209213,18.0120716095
2026-04-24_05:25:45.580156,211.999888,17.930019,212.36934185,18.0120716095
2026-04-24_05:25:46.080898,212.001947,17.930053,212.380199432,18.0120716095
2026-04-24_05:25:59.600957,212.058059,17.930462,212.427821159,18.0120716095
2026-04-24_05:26:00.101653,212.060469,17.930264,212.438693047,18.0120716095
2026-04-24_05:26:14.623149,212.121452,17.929858,212.490491867,18.0120716095
2026-04-24_05:26:15.123956,212.123621,17.929979,212.501449585,18.012014389
2026-04-24_05:26:30.646985,212.187952,17.929769,212.557339668,18.0120716095
2026-04-24_05:26:31.147686,212.189945,17.929822,212.569041252,18.0120716095
2026-04-24_05:26:48.172951,212.26164,17.929266,212.630023956,18.0120716095
2026-04-24_05:26:48.673674,212.264091,17.929402,212.641739845,18.0120716095
2026-04-24_05:27:06.700378,212.338897,17.929683,212.707743645,18.0120716095
2026-04-24_05:27:07.201116,212.340927,17.929364,212.719430923,18.0120716095
2026-04-24_05:27:26.229276,212.420698,17.929212,212.789726257,18.012014389
2026-04-24_05:27:26.730081,212.422948,17.929042,212.800498009,18.0120716095
2026-04-24_05:27:46.258983,212.504128,17.929628,212.873296738,18.012014389
2026-04-24_05:27:46.759767,212.506723,17.929532,212.884984016,18.012014389
2026-04-24_05:28:07.790951,212.594261,17.92946,212.963433266,18.0120716095
2026-04-24_05:28:08.291696,212.596775,17.929364,212.974290848,18.0120716095
